Monthly_Spend_USD,Hours_Watched_Per_Week,Devices_Connected,Customer_Service_Tickets,Using_Student_Discount,Account_Status
17.76,12.3,2,1,false,Stay
16.81,12.7,2,2,true,Stay
17.64,8.1,5,0,false,Stay
16.39,11.9,3,0,true,Stay
14.11,21.9,5,0,true,Stay
15.31,22.3,2,0,false,Stay
12.26,15.2,4,1,true,Stay
13.42,13.5,5,2,false,Stay
14.29,15.3,2,2,false,Stay
14.67,9.6,4,0,false,Stay
16.72,12.6,5,2,false,Stay
11.37,8.1,4,2,true,Stay
15.81,8.1,5,0,false,Stay
14.64,18.0,5,2,true,Stay
17.94,21.2,2,2,true,Stay
10.21,8.6,2,0,false,Stay
18.28,14.8,2,2,false,Stay
24.03,0.7,1,3,false,Cancel
14.33,11.1,2,0,false,Stay
16.21,21.5,4,2,true,Stay
12.06,16.7,3,0,false,Stay
12.6,12.7,2,1,true,Stay
11.15,12.3,4,0,false,Stay
13.16,17.2,5,0,true,Stay
14.5,11.1,2,0,false,Stay
13.1,20.4,4,0,true,Stay
15.22,11.1,2,0,false,Stay
17.68,10.9,3,0,true,Stay
15.96,20.6,5,0,true,Stay
16.46,9.2,4,1,true,Stay
13.46,14.7,2,2,true,Stay
10.12,11.0,5,0,false,Stay
12.86,11.5,3,1,false,Stay
10.45,21.3,3,2,true,Stay
14.77,9.7,5,1,false,Stay
12.9,14.9,4,0,true,Stay
13.14,13.9,3,0,false,Stay
12.89,22.7,4,0,true,Stay
16.31,16.0,5,0,true,Stay
11.79,9.3,3,0,true,Stay
10.4,16.2,4,0,true,Stay
13.28,17.9,3,0,false,Stay
16.84,9.1,5,1,false,Stay
17.42,10.9,5,0,true,Stay
16.25,15.0,3,0,true,Stay
14.61,15.0,2,0,true,Stay
16.26,15.1,4,0,true,Stay
11.17,14.3,4,0,true,Stay
22.57,0.0,2,5,false,Cancel
12.09,18.3,3,0,true,Stay
17.0,3.1,2,6,false,Cancel
10.82,14.2,2,0,true,Stay
19.2,2.9,1,3,true,Cancel
11.52,21.3,4,0,false,Stay
12.66,5.9,2,2,true,Stay
13.37,14.4,3,2,false,Stay
15.43,16.5,3,0,true,Stay
15.03,13.0,3,0,true,Stay
13.63,21.3,5,0,false,Stay
17.74,13.5,2,0,false,Stay
12.13,9.1,3,0,true,Stay
16.66,13.2,4,0,false,Stay
21.6,0.0,2,5,false,Cancel
18.47,10.2,2,0,false,Stay
17.84,8.4,5,0,true,Stay
15.83,11.6,4,0,true,Stay
12.49,12.8,4,1,false,Stay
16.07,17.0,2,0,true,Stay
15.08,14.2,3,2,false,Stay
11.58,17.1,5,1,false,Stay
10.75,12.1,3,2,false,Stay
16.67,18.7,3,0,false,Stay
23.83,3.4,1,4,false,Cancel
22.29,3.2,1,6,false,Cancel
12.59,13.6,2,2,true,Stay
13.14,16.4,4,0,true,Stay
17.95,20.1,4,1,true,Stay
11.26,15.7,3,0,false,Stay
12.71,16.3,2,1,false,Stay
15.24,12.3,2,2,false,Stay
15.33,16.5,5,0,false,Stay
13.84,19.2,4,0,false,Stay
14.41,11.8,2,0,false,Stay
18.16,15.0,4,0,false,Stay
18.22,22.7,2,1,false,Stay
16.55,15.4,3,0,true,Stay
12.27,16.8,4,0,false,Stay
14.4,21.4,3,1,false,Stay
17.77,20.0,5,0,true,Stay
17.26,11.1,4,0,false,Stay
13.84,13.0,3,1,false,Stay
15.03,16.5,2,0,false,Stay
11.89,13.4,5,0,false,Stay
13.7,16.4,3,0,false,Stay
11.28,12.3,5,0,false,Stay
13.79,13.7,4,0,true,Stay
12.08,7.2,5,1,false,Stay
13.91,22.1,4,0,true,Stay
17.26,13.0,2,0,false,Stay
11.05,13.7,3,2,false,Stay
10.11,10.5,4,0,false,Stay
11.54,10.5,2,1,true,Stay
22.77,2.9,1,6,false,Cancel
11.1,14.6,2,0,true,Stay
13.16,11.4,4,2,true,Stay
14.64,14.6,5,1,true,Stay
13.1,18.0,2,2,true,Stay
11.89,15.5,4,0,false,Stay
13.84,22.5,4,1,false,Stay
13.07,16.7,5,0,true,Stay
14.19,18.4,2,1,false,Stay
17.65,13.2,4,0,true,Stay
14.87,12.7,4,0,true,Stay
17.8,20.0,5,1,true,Stay
15.2,13.3,5,0,false,Stay
16.57,12.0,2,0,false,Stay
16.98,18.8,5,0,true,Stay
14.63,13.1,4,0,false,Stay
12.22,7.9,2,0,true,Stay
17.97,26.1,2,1,false,Stay
13.65,19.9,2,0,false,Stay
16.98,15.3,2,0,true,Stay
16.83,21.7,2,0,false,Stay
21.63,6.9,1,7,false,Cancel
17.89,18.1,4,0,true,Stay
11.32,12.0,2,2,true,Stay
12.61,21.6,3,0,true,Stay
12.28,21.2,4,2,false,Stay
15.71,10.5,2,0,false,Stay
17.75,9.5,2,0,true,Stay
16.42,23.6,2,1,false,Stay
12.03,17.2,3,2,true,Stay
17.54,4.7,2,6,true,Cancel
12.7,12.0,3,0,false,Stay
14.48,14.9,5,0,false,Stay
15.77,16.2,5,0,false,Stay
18.33,18.5,2,0,false,Stay
14.97,12.3,4,2,false,Stay
13.08,15.5,5,0,true,Stay
11.79,20.0,5,2,false,Stay
11.02,13.4,3,0,false,Stay
10.67,6.6,2,0,true,Stay
10.57,12.7,5,2,false,Stay
11.25,14.6,5,0,true,Stay
14.37,22.5,3,2,false,Stay
20.5,1.4,2,6,false,Cancel
16.76,16.4,2,2,false,Stay
10.88,15.9,4,0,true,Stay
24.56,3.7,1,3,true,Cancel
16.06,21.5,2,0,true,Stay
14.33,12.0,4,0,false,Stay
11.92,18.4,2,0,true,Stay
16.43,23.3,5,0,false,Stay
15.0,12.2,4,0,false,Stay
11.83,20.6,4,0,true,Stay
12.29,15.4,2,0,false,Stay
12.73,17.2,4,1,false,Stay
12.35,11.9,4,0,false,Stay
14.66,18.1,5,0,true,Stay
16.03,11.5,2,0,false,Stay
10.82,6.3,5,0,false,Stay
16.14,15.8,2,0,true,Stay
14.19,11.1,3,0,true,Stay
16.92,1.8,2,4,false,Cancel
16.54,13.1,2,1,true,Stay
12.27,16.1,3,0,true,Stay
13.43,15.0,2,0,true,Stay
13.85,10.3,2,2,false,Stay
11.75,17.3,4,0,false,Stay
16.79,18.8,2,0,true,Stay
16.76,16.0,5,0,true,Stay
17.95,8.7,3,2,false,Stay
17.69,19.6,2,1,false,Stay
11.9,14.1,3,0,false,Stay
10.11,10.8,4,0,false,Stay
14.94,20.1,3,0,false,Stay
17.09,12.6,2,0,true,Stay
11.71,13.0,3,0,true,Stay
12.86,22.8,4,0,true,Stay
11.93,15.5,4,0,true,Stay
11.81,10.2,4,1,false,Stay
16.48,20.9,5,0,true,Stay
14.69,14.3,5,0,false,Stay
18.22,10.5,4,1,false,Stay
12.9,17.1,3,1,false,Stay
11.44,19.0,5,0,false,Stay
12.21,17.1,3,0,true,Stay
11.55,15.7,2,0,false,Stay
13.8,14.6,3,0,false,Stay
17.75,12.5,5,1,true,Stay
17.02,9.1,2,0,false,Stay
16.67,19.9,4,1,true,Stay
16.78,11.6,5,2,false,Stay
18.12,15.2,2,1,false,Stay
11.38,27.8,5,0,true,Stay
10.96,23.1,2,0,false,Stay
16.6,14.1,3,0,false,Stay
17.98,13.5,4,2,true,Stay
12.18,14.2,4,0,false,Stay
13.33,7.3,4,2,false,Stay
12.15,15.5,4,0,false,Stay
10.25,13.4,2,0,false,Stay
13.01,23.7,4,0,false,Stay
13.86,13.2,3,1,true,Stay
17.57,13.1,3,0,false,Stay
14.87,4.3,2,0,false,Stay
10.23,17.6,4,0,true,Stay
11.39,17.8,3,0,true,Stay
12.6,15.1,3,2,true,Stay
18.26,16.3,2,2,true,Stay
18.42,3.2,2,3,false,Cancel
10.38,16.5,2,1,true,Stay
10.75,22.8,3,1,true,Stay
23.04,2.2,2,7,true,Cancel
12.9,21.4,3,0,true,Stay
16.56,17.3,2,0,false,Stay
11.13,14.5,2,0,true,Stay
17.94,14.5,3,0,false,Stay
15.51,18.1,2,0,false,Stay
16.73,16.0,5,0,true,Stay
13.08,8.2,5,2,false,Stay
12.45,16.1,4,1,true,Stay
13.86,10.8,3,2,false,Stay
14.02,18.3,2,0,true,Stay
11.78,19.7,5,0,false,Stay
12.0,12.6,4,0,false,Stay
12.26,16.0,3,1,true,Stay
15.1,20.0,2,0,true,Stay
14.77,20.1,4,0,true,Stay
16.38,7.4,3,0,false,Stay
11.56,9.2,2,0,true,Stay
14.19,11.6,2,0,true,Stay
17.08,19.4,4,1,false,Stay
16.89,8.1,3,2,true,Stay
16.62,20.2,4,0,true,Stay
13.79,7.1,4,0,false,Stay
12.95,18.9,2,2,true,Stay
11.5,7.4,4,0,true,Stay
16.64,15.6,5,0,false,Stay
15.99,15.2,2,0,true,Stay
17.49,20.8,5,0,false,Stay
10.43,10.6,3,0,false,Stay
11.64,15.1,3,0,true,Stay
15.98,8.2,5,0,false,Stay
15.38,14.8,3,1,false,Stay
17.51,6.1,2,0,true,Stay
17.46,15.0,5,2,false,Stay
14.4,13.8,4,1,true,Stay
17.49,11.0,4,2,true,Stay
12.98,11.3,5,1,true,Stay
14.14,15.8,3,1,true,Stay
16.14,18.7,4,0,true,Stay
18.06,4.2,2,0,false,Stay
16.08,5.3,2,0,false,Stay
22.05,3.0,1,4,false,Cancel
18.48,14.4,3,0,true,Stay
12.96,16.6,2,0,false,Stay
11.58,12.7,4,2,true,Stay
12.12,12.3,2,2,true,Stay
13.0,8.0,5,1,true,Stay
18.03,12.3,4,1,false,Stay
12.53,15.4,4,1,true,Stay
12.8,20.0,4,0,false,Stay
13.43,14.9,4,0,false,Stay
16.63,7.3,5,2,false,Stay
11.34,16.9,5,1,true,Stay
23.59,3.3,2,7,true,Cancel
17.02,12.8,3,0,true,Stay
15.98,24.1,2,2,true,Stay
13.17,11.0,3,1,false,Stay
16.55,13.6,3,0,false,Stay
22.96,3.6,1,4,false,Cancel
15.77,18.5,3,0,false,Stay
11.93,11.9,3,1,true,Stay
14.94,14.7,3,0,false,Stay
10.04,14.7,2,0,false,Stay
17.84,10.9,3,1,true,Stay
11.88,17.1,3,0,true,Stay
11.29,17.9,2,2,false,Stay
10.95,8.3,3,2,true,Stay
12.66,19.7,3,0,true,Stay
10.91,13.6,3,0,false,Stay
16.64,13.6,5,0,false,Stay
12.45,6.6,4,0,true,Stay
18.24,17.7,2,1,true,Stay
11.31,18.3,4,0,true,Stay
16.04,20.6,3,2,false,Stay
12.94,16.6,4,2,true,Stay
17.36,18.8,5,1,true,Stay
16.82,16.5,2,0,true,Stay
16.36,21.3,2,0,false,Stay
16.52,4.9,2,0,false,Stay
18.1,19.5,5,0,true,Stay
11.18,12.1,2,2,false,Stay
12.08,19.5,5,0,true,Stay
14.26,22.8,4,1,true,Stay
13.15,16.8,2,0,true,Stay
15.97,8.8,3,2,true,Stay
10.67,10.4,3,0,false,Stay
18.33,20.4,4,0,false,Stay
13.93,11.7,5,0,true,Stay
11.41,22.5,5,1,false,Stay
11.95,15.2,3,1,true,Stay
14.15,9.6,4,1,false,Stay
14.88,10.9,3,1,false,Stay
18.11,11.0,4,2,true,Stay
12.2,17.7,3,2,false,Stay
14.55,8.8,3,0,false,Stay
11.83,14.1,2,0,true,Stay
10.34,17.9,4,0,true,Stay
12.5,11.6,4,0,false,Stay
17.05,19.1,3,2,false,Stay
11.48,18.7,5,0,false,Stay
14.4,14.7,2,0,false,Stay
12.44,18.9,4,0,true,Stay
15.82,19.3,5,2,false,Stay
11.86,13.3,3,1,false,Stay
15.04,21.9,4,1,false,Stay
11.48,14.2,5,0,false,Stay
10.16,20.3,3,1,false,Stay
17.31,18.7,3,0,true,Stay
24.7,2.1,2,6,false,Cancel
10.71,10.0,5,0,true,Stay
18.14,13.5,4,0,true,Stay
18.39,2.4,2,3,false,Cancel
15.42,10.8,5,0,false,Stay
13.26,12.1,5,2,false,Stay
17.42,20.1,4,2,false,Stay
13.52,14.8,4,1,true,Stay
15.63,18.1,4,2,false,Stay
17.17,6.2,4,1,false,Stay
11.54,9.5,4,0,false,Stay
17.11,14.9,4,0,false,Stay
12.82,17.8,4,0,true,Stay
14.63,16.1,5,2,false,Stay
21.32,3.7,1,5,false,Cancel
14.77,23.2,4,0,false,Stay
15.63,15.3,4,0,false,Stay
10.02,21.1,5,0,false,Stay
16.41,18.9,5,1,false,Stay
14.99,12.1,2,0,false,Stay
17.96,15.5,2,2,true,Stay
18.28,25.9,5,0,false,Stay
12.7,17.3,5,0,false,Stay
10.82,13.2,3,0,false,Stay
17.54,14.2,2,0,false,Stay
18.46,7.9,4,1,true,Stay
12.17,11.4,2,0,false,Stay
15.66,12.4,3,0,false,Stay
11.88,15.1,3,0,true,Stay
21.78,2.8,2,6,true,Cancel
17.65,11.6,5,1,true,Stay
11.47,13.5,2,2,true,Stay
11.34,12.0,5,0,false,Stay
18.59,2.2,1,6,false,Cancel
17.08,13.3,4,0,false,Stay
14.7,15.1,3,0,false,Stay
12.86,15.3,3,0,false,Stay
14.85,20.1,4,0,false,Stay
15.14,10.3,2,2,true,Stay
14.67,11.3,3,0,false,Stay
11.34,17.7,3,1,false,Stay
11.08,18.0,5,1,false,Stay
13.73,15.9,5,0,false,Stay
16.07,8.9,2,0,true,Stay
10.39,14.6,4,1,true,Stay
16.0,16.1,2,1,false,Stay
17.22,16.9,5,0,false,Stay
13.43,20.8,2,0,false,Stay
12.94,4.4,3,1,false,Stay
17.77,17.0,5,1,false,Stay
18.06,13.2,2,1,true,Stay
16.47,15.1,4,0,false,Stay
11.43,10.4,2,0,false,Stay
14.05,8.6,2,0,false,Stay
11.35,8.8,5,0,true,Stay
16.08,16.5,3,2,true,Stay
10.96,18.8,4,2,false,Stay
13.16,13.6,3,1,true,Stay
15.19,11.5,4,0,false,Stay
10.89,13.3,2,0,false,Stay
15.75,23.3,4,0,true,Stay
13.95,15.3,4,1,false,Stay
12.81,17.2,5,0,true,Stay
12.67,18.5,4,2,true,Stay
11.59,11.3,5,1,false,Stay
16.23,14.7,5,0,true,Stay
17.09,7.8,5,1,false,Stay
16.55,13.3,5,1,false,Stay
21.26,5.1,1,4,false,Cancel
23.27,2.4,2,4,true,Cancel
14.35,9.0,5,2,true,Stay
10.66,12.8,2,2,true,Stay
15.29,16.9,2,0,false,Stay
12.1,16.7,5,0,false,Stay
13.06,12.0,5,0,false,Stay
12.57,13.1,2,1,true,Stay
16.1,17.1,2,2,true,Stay
11.47,7.2,5,0,true,Stay
16.68,10.9,5,0,true,Stay
14.43,12.1,5,0,true,Stay
16.38,20.2,3,2,true,Stay
14.22,10.3,2,1,false,Stay
13.1,15.4,4,1,true,Stay
11.64,12.5,3,2,false,Stay
17.89,1.1,1,6,true,Cancel
11.65,20.3,2,0,false,Stay
11.63,17.4,5,0,true,Stay
13.67,6.8,2,0,false,Stay
11.14,14.6,4,0,true,Stay
16.69,16.6,3,0,false,Stay
17.06,12.6,3,0,true,Stay
17.26,15.5,4,0,true,Stay
11.2,19.9,4,2,false,Stay
10.2,16.5,2,0,false,Stay
17.45,9.5,5,2,true,Stay
15.27,13.5,2,1,true,Stay
11.39,19.4,2,2,true,Stay
22.82,3.3,1,6,false,Cancel
11.5,17.9,4,1,false,Stay
11.63,15.1,2,1,true,Stay
15.45,11.1,5,1,true,Stay
14.46,17.0,5,0,true,Stay
22.9,0.9,2,4,true,Cancel
13.45,20.4,5,0,false,Stay
12.31,6.4,2,2,true,Stay
13.63,10.4,2,1,true,Stay
15.03,23.3,4,0,true,Stay
10.78,21.0,4,1,true,Stay
13.69,14.5,3,0,true,Stay
13.86,18.0,2,1,true,Stay
16.39,8.6,4,2,true,Stay
16.76,7.5,1,5,false,Cancel
17.55,2.8,1,3,false,Cancel
15.52,2.4,1,3,false,Cancel
14.16,9.0,3,0,false,Stay
10.55,15.1,5,0,false,Stay
12.22,14.2,4,0,false,Stay
14.49,21.5,3,2,true,Stay
14.64,10.5,4,2,true,Stay
10.96,14.1,3,0,true,Stay
17.86,18.4,4,0,false,Stay
14.15,14.0,4,0,true,Stay
17.44,9.4,2,1,true,Stay
17.31,7.2,5,0,false,Stay
17.06,9.0,5,0,false,Stay
14.49,17.7,3,0,false,Stay
13.49,10.6,2,0,true,Stay
16.23,14.9,2,0,false,Stay
10.61,15.4,5,2,true,Stay
17.0,9.9,4,1,true,Stay
15.21,12.0,5,1,false,Stay
18.42,12.0,5,0,true,Stay
15.28,17.4,3,0,false,Stay
20.93,2.4,1,5,false,Cancel
12.74,15.3,3,1,true,Stay
17.92,5.9,5,2,false,Stay
12.12,23.5,5,1,true,Stay
17.06,16.6,4,1,true,Stay
13.03,20.9,2,0,true,Stay
15.58,19.4,2,0,true,Stay
10.17,15.1,5,1,false,Stay
17.15,11.9,2,0,true,Stay
10.21,12.2,3,0,false,Stay
11.26,7.6,5,0,true,Stay
10.37,12.2,2,0,false,Stay
16.03,11.9,4,0,false,Stay
16.45,19.5,4,0,false,Stay
11.62,15.7,4,0,true,Stay
12.21,16.8,4,1,false,Stay
11.13,14.8,3,1,false,Stay
10.3,17.9,5,1,false,Stay
13.79,18.8,5,0,false,Stay
17.74,8.4,5,0,false,Stay
10.09,16.3,5,0,false,Stay
18.89,1.9,1,6,false,Cancel
13.98,9.0,4,1,false,Stay
11.69,13.8,3,1,false,Stay
14.35,8.4,3,0,false,Stay
16.14,17.7,4,2,true,Stay
11.09,22.6,2,0,true,Stay
18.14,12.1,5,0,false,Stay
10.37,13.6,2,2,false,Stay
13.45,19.1,4,0,false,Stay
12.71,17.0,4,0,false,Stay
18.04,9.6,2,0,false,Stay
11.22,15.3,4,0,true,Stay
15.19,10.2,3,0,false,Stay
12.6,11.1,4,0,false,Stay
19.04,2.4,2,4,true,Cancel
15.92,11.1,5,0,false,Stay
12.55,14.6,5,1,false,Stay
12.44,11.1,5,2,false,Stay
11.77,12.2,4,1,true,Stay
22.9,4.0,2,4,false,Cancel
15.1,12.4,4,1,false,Stay
14.86,13.4,2,1,false,Stay
18.43,21.9,4,0,false,Stay
10.16,13.3,3,0,false,Stay
17.26,17.9,5,0,true,Stay
14.41,19.0,4,2,false,Stay
16.88,14.3,4,0,true,Stay
14.72,16.4,5,2,false,Stay
17.8,10.4,4,2,true,Stay
17.55,21.5,3,0,false,Stay
20.81,4.1,2,6,false,Cancel
17.82,19.0,5,1,true,Stay
17.31,15.6,5,0,true,Stay
14.72,12.9,2,0,false,Stay
14.46,18.4,3,2,true,Stay
14.65,19.5,3,0,true,Stay
14.35,16.6,2,2,true,Stay
19.89,2.1,2,5,true,Cancel
12.95,17.0,3,1,true,Stay
18.36,13.8,4,0,true,Stay
16.35,11.2,4,2,false,Stay
12.72,25.7,5,2,true,Stay
14.37,12.4,2,0,false,Stay
11.49,16.2,5,1,true,Stay
10.81,13.8,4,2,false,Stay
18.0,10.9,5,2,false,Stay
12.86,20.7,5,1,true,Stay
14.71,15.6,2,0,false,Stay
11.89,17.6,4,0,false,Stay
21.99,2.4,1,5,true,Cancel
10.25,10.9,4,0,false,Stay
14.41,14.3,4,1,true,Stay
14.19,17.1,4,0,false,Stay
12.0,15.4,2,0,false,Stay
16.21,2.1,1,7,false,Cancel
14.77,20.2,4,2,false,Stay
11.91,8.8,2,1,false,Stay
14.08,12.6,4,1,true,Stay
15.69,10.2,2,2,true,Stay
24.74,0.0,1,6,false,Cancel
13.15,11.7,2,0,true,Stay
11.6,10.9,5,0,true,Stay
17.77,5.8,1,6,true,Cancel
13.18,14.1,5,0,false,Stay
13.33,14.0,4,1,true,Stay
14.78,14.7,3,2,true,Stay
11.21,16.2,4,0,false,Stay
12.3,9.5,3,0,true,Stay
12.96,20.5,2,1,true,Stay
10.4,7.0,2,2,false,Stay
15.15,11.9,4,0,true,Stay
16.77,22.3,3,0,false,Stay
17.22,17.9,2,2,true,Stay
11.51,14.9,4,0,false,Stay
18.06,11.6,4,0,false,Stay
16.02,16.4,3,0,false,Stay
15.11,11.3,3,0,true,Stay
17.8,6.9,2,1,false,Stay
16.78,12.7,2,0,false,Stay
24.76,1.6,1,3,false,Cancel
17.45,20.7,5,2,false,Stay
12.19,11.9,4,0,false,Stay
15.73,12.7,3,0,true,Stay
18.06,17.5,4,2,false,Stay
13.52,15.0,5,0,false,Stay
17.53,14.4,4,1,false,Stay
17.75,17.5,4,1,false,Stay
11.32,13.0,3,1,true,Stay
18.4,15.1,5,1,true,Stay
16.85,14.8,2,2,false,Stay
17.87,14.8,4,0,false,Stay
13.79,5.6,4,0,false,Stay
14.37,18.3,2,2,true,Stay
10.61,14.4,5,0,true,Stay
12.06,16.4,5,0,true,Stay
13.76,15.7,4,2,true,Stay
16.24,15.2,2,2,false,Stay
13.81,7.9,2,0,true,Stay
16.47,13.1,5,2,false,Stay
12.83,15.1,4,1,false,Stay
12.52,16.4,4,0,true,Stay
12.06,11.3,4,0,true,Stay
11.18,16.9,4,2,true,Stay
11.2,12.1,5,1,false,Stay
10.33,10.2,3,0,true,Stay
17.27,20.1,4,0,true,Stay
12.73,18.3,3,0,false,Stay
16.57,12.0,5,2,true,Stay
13.49,23.4,5,0,true,Stay
10.65,13.9,2,0,false,Stay
11.89,16.0,4,1,false,Stay
15.15,8.8,2,0,false,Stay
11.34,12.9,4,2,true,Stay
11.84,9.9,4,1,false,Stay
11.77,12.7,5,2,false,Stay
18.02,15.3,5,2,false,Stay
16.12,13.6,3,1,false,Stay
16.95,8.5,5,0,false,Stay
10.08,16.7,5,0,false,Stay
10.69,16.5,3,0,true,Stay
17.77,11.6,5,0,true,Stay
17.77,13.8,5,0,true,Stay
12.26,17.4,4,0,false,Stay
15.64,4.0,1,7,false,Cancel
11.99,5.9,4,1,true,Stay
10.16,8.6,2,0,true,Stay
13.54,14.3,2,1,true,Stay
22.69,1.1,2,4,true,Cancel
18.05,12.7,2,0,true,Stay
16.49,12.1,4,0,false,Stay
12.55,17.0,5,0,true,Stay
13.74,11.7,4,0,false,Stay
10.97,12.5,3,2,false,Stay
14.62,17.1,5,0,false,Stay
11.1,17.2,5,0,false,Stay
17.14,16.1,4,0,false,Stay
13.15,21.0,5,1,true,Stay
16.14,17.0,2,0,true,Stay
17.53,20.1,2,2,true,Stay
14.89,17.2,4,0,true,Stay
13.59,18.0,3,1,true,Stay
16.9,23.8,4,1,false,Stay
15.4,13.2,5,2,false,Stay
13.32,10.6,4,0,false,Stay
14.9,11.1,3,1,true,Stay
17.94,17.6,4,1,true,Stay
11.97,14.5,4,2,true,Stay
16.27,15.2,3,0,false,Stay
18.25,15.5,4,0,false,Stay
13.02,19.0,2,0,true,Stay
11.54,11.6,2,0,false,Stay
11.13,11.6,5,0,true,Stay
14.95,13.3,3,2,false,Stay
16.21,14.9,3,2,true,Stay
10.31,20.7,4,2,false,Stay
15.51,16.5,2,1,true,Stay
14.75,13.2,5,0,false,Stay
16.04,16.9,5,0,true,Stay
13.87,15.2,4,2,true,Stay
14.56,14.2,2,0,false,Stay
15.17,13.3,5,0,false,Stay
16.91,19.1,5,0,false,Stay
13.55,11.8,3,2,false,Stay
13.18,15.9,5,2,false,Stay
17.25,21.2,2,0,true,Stay
12.1,16.7,4,1,true,Stay
10.78,13.4,2,2,false,Stay
16.16,15.1,3,0,false,Stay
20.27,4.5,1,5,true,Cancel
11.88,9.1,3,0,false,Stay
10.72,16.7,4,0,true,Stay
15.32,15.8,2,0,true,Stay
13.44,21.3,5,0,false,Stay
11.02,14.2,4,0,false,Stay
12.4,17.0,2,1,false,Stay
16.86,11.8,2,2,true,Stay
15.93,16.7,5,0,false,Stay
11.12,19.7,2,0,true,Stay
15.85,15.8,5,0,false,Stay
10.95,10.6,4,0,true,Stay
15.37,18.4,4,0,false,Stay
15.3,11.5,3,0,true,Stay
10.1,14.6,3,2,false,Stay
13.16,21.0,2,0,false,Stay
13.37,13.1,3,0,true,Stay
16.55,14.9,5,0,true,Stay
16.34,17.9,2,2,false,Stay
17.58,12.6,4,0,false,Stay
18.34,20.8,3,0,true,Stay
20.3,4.0,1,4,true,Cancel
18.24,19.6,2,0,true,Stay
14.77,14.4,3,0,false,Stay
